id,req_id,func_id,status,dept_id,details,quantity,return_q,due,responsible_id,inserted_at,updated_at
29956,951,5,1,NULL,NULL,NULL,0,NULL,02-0689,"2026-06-21 11:33:28","0000-00-00 00:00:00"
29955,951,61,1,NULL,NULL,NULL,0,NULL,02-0444,"2026-06-21 11:33:28","0000-00-00 00:00:00"
29954,951,69,1,NULL,NULL,NULL,0,NULL,02-0052,"2026-06-21 11:33:28","0000-00-00 00:00:00"
29953,951,74,1,NULL,NULL,NULL,0,NULL,02-0300,"2026-06-21 11:33:28","0000-00-00 00:00:00"
29952,951,14,1,NULL,NULL,NULL,0,NULL,02-0169,"2026-06-21 11:33:28","0000-00-00 00:00:00"
29951,951,32,1,NULL,NULL,NULL,0,NULL,02-0166,"2026-06-21 11:33:28","0000-00-00 00:00:00"
29950,951,34,1,NULL,NULL,NULL,0,NULL,02-0047,"2026-06-21 11:33:28","0000-00-00 00:00:00"
29949,950,118,1,NULL,NULL,NULL,0,NULL,02-1893,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29948,950,79,1,NULL,NULL,NULL,0,NULL,02-0341,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29947,950,42,1,NULL,NULL,NULL,0,NULL,02-1627,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29946,950,149,1,NULL,NULL,NULL,0,NULL,02-0757,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29945,950,13,1,NULL,NULL,NULL,0,NULL,02-2075,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29944,950,135,1,NULL,NULL,NULL,0,NULL,02-0309,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29943,950,18,1,NULL,NULL,NULL,0,NULL,02-1996,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29942,950,112,1,NULL,NULL,NULL,0,NULL,02-2429,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29941,950,155,1,NULL,NULL,NULL,0,NULL,02-0086,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29940,950,165,1,NULL,NULL,NULL,0,NULL,02-1876,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29939,950,166,1,NULL,NULL,NULL,0,NULL,02-0800,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29938,950,163,1,NULL,NULL,NULL,0,NULL,02-1838,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29937,950,0,1,NULL,NULL,NULL,0,NULL,02-1838,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29936,950,137,1,NULL,NULL,NULL,0,NULL,02-1409,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29935,950,134,1,NULL,NULL,NULL,0,NULL,02-1037,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29934,950,119,1,NULL,NULL,NULL,0,NULL,02-0767,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29933,950,0,1,NULL,NULL,NULL,0,NULL,02-0767,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29932,950,72,1,NULL,NULL,NULL,0,NULL,02-1147,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29931,950,13,1,NULL,NULL,NULL,0,NULL,02-2574,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29930,950,0,1,NULL,NULL,NULL,0,NULL,02-0917,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29929,950,129,1,NULL,NULL,NULL,0,NULL,02-2014,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29928,950,0,1,NULL,NULL,NULL,0,NULL,02-2555,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29927,950,0,1,NULL,NULL,NULL,0,NULL,02-2555,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29926,950,123,1,NULL,NULL,NULL,0,NULL,02-1109,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29925,950,133,1,NULL,NULL,NULL,0,NULL,02-1320,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29924,950,140,1,NULL,NULL,NULL,0,NULL,02-1147,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29923,950,141,1,NULL,NULL,NULL,0,NULL,02-0757,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29922,950,56,1,NULL,NULL,NULL,0,NULL,02-0166,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29921,950,73,1,NULL,NULL,NULL,0,NULL,02-0402,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29920,950,95,1,NULL,NULL,NULL,0,NULL,02-0103,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29919,950,60,1,NULL,NULL,NULL,0,NULL,02-1738,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29918,950,86,1,NULL,NULL,NULL,0,NULL,02-1626,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29917,950,5,1,NULL,NULL,NULL,0,NULL,02-0689,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29916,950,61,1,NULL,NULL,NULL,0,NULL,02-0444,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29915,950,69,1,NULL,NULL,NULL,0,NULL,02-0052,"2026-06-09 14:57:30","0000-00-00 00:00:00"
29914,950,74,1,NULL,NULL,NULL,0,NULL,02-0300,"2026-06-09 14:57:30","0000-00-00 00:00:00"
