id,inventory_category_list,status,created_by,created_at,edited_by,edited_at,parent_id,type,sub_parent_id,modified_at
13,Desktop-DC1,1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
12,"Wireless Router",1,02-0467,"2025-08-12 13:49:17",02-0501,"2025-08-12 13:49:17",0,category,0,"0000-00-00 00:00:00"
11,Tablet,1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
10,"Laptop Battery",1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
9,Mouse,1,02-0467,"2025-08-04 15:04:34",02-0501,"2025-08-04 15:04:34",0,category,0,"0000-00-00 00:00:00"
8,"Docking Station",1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
7,RAM-Laptop,1,02-0467,"2025-09-17 10:55:39",02-0501,"2025-09-17 10:55:39",0,category,0,"2025-09-10 12:44:36"
6,"LAN Card USB",1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
5,Laptop-LC1,1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
4,Keyboard-USB,1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
3,"Laptop Adapter",1,02-0467,"2025-09-17 10:55:58",02-0501,"2025-09-17 10:55:58",0,category,0,"2025-09-10 10:46:16"
2,"Laptop Keyboard",1,02-0467,"2025-08-21 11:11:50",02-2014,"2025-08-21 11:11:50",0,category,0,"0000-00-00 00:00:00"
1,Laptop-LC2,1,02-0467,"2022-09-26 05:34:24",02-0467,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
