"id","category","tt_no","employee_id","reason_details","status","created_by","created_at","approved_val","approved_by","approved_date","edited_by","edited_at","device_sl_no","delivered_val","delivered_by","delivered_date","dev_assigned_val","dev_assinged_by","dev_assigned_date","trouble_ticket_id"
46,"Monitor","2025012826238","02-1463","The user needed a monitor for multi-screen work purposes. He did not need a new one, we can deliver an old one from our stock.",1,"02-2014","2025-03-11 09:33:13+06",1,"02-0007","2025-03-11 11:25:40+06",NULL,NULL,NULL,2,"02-2014","2025-10-30 09:40:15+06",0,NULL,NULL,26051
45,"Wireless Router","2024102925352","02-1823","Gazipur Zonal Office needed a Wi-Fi router for use in the office internet",1,"02-2014","2025-03-11 09:23:59+06",2,"02-0186","2025-03-12 09:54:00+06",NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,25168
44,"Mouse","2025030526631","02-2653","need a mouse.(new user)",1,"02-2181","2025-03-09 09:55:58+06",1,"02-0186","2025-03-12 09:54:37+06",NULL,NULL,NULL,1,"02-2181","2025-07-21 11:53:10+06",0,NULL,NULL,26444
43,"Mouse","2025030626648","02-2365","Wireless mouse warranty has been gone. So adding requisition for a new USB MOUSE.",1,"02-2297","2025-03-09 09:20:42+06",1,"02-0186","2025-03-10 13:44:49+06",NULL,NULL,NULL,1,"02-0186","2025-03-10 13:50:09+06",0,NULL,NULL,26461
42,"Laptop Battery","2025020426303","02-0336","Battery needed because Laptop Backup only 30 minutes",1,"02-2014","2025-03-04 13:26:18+06",1,"02-0186","2025-03-09 11:21:01+06",NULL,NULL,"PF2RV67D",1,"02-2181","2025-03-09 11:24:23+06",1,"02-2181","2025-03-09 11:31:07+06",26116
41,"Mouse","2025022726569","02-2066","need a USB Mouse.
",1,"02-2181","2025-03-04 11:33:21+06",2,"02-0186","2025-03-12 09:54:52+06",NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,26382
40,"Mouse","2025030326605","02-2652","Need mouse for official puposes",1,"02-2297","2025-03-03 10:46:15+06",1,"02-0186","2025-04-16 11:41:29+06",NULL,NULL,NULL,1,"02-2181","2025-07-21 11:52:34+06",0,NULL,NULL,26418
39,"Converter","2025030226579","02-0479","Dear Concern,

VGA to HDMI got Faulty. So need a new VGA to HDMI converter for smooth operation",1,"02-2297","2025-03-02 14:16:47+06",1,"02-0186","2025-04-16 11:41:31+06",NULL,NULL,NULL,1,"02-2181","2025-07-27 09:32:32+06",0,NULL,NULL,26392
38,"Converter","2025022026485","02-0082","need a USB HUB",1,"02-2181","2025-02-23 10:30:11+06",1,"02-0186","2025-04-16 11:41:44+06",NULL,NULL,NULL,1,"02-2181","2025-07-27 10:53:43+06",0,NULL,NULL,26298
37,"Mouse","2025022026466","02-2634","need a USB mouse.",1,"02-2181","2025-02-23 09:07:28+06",2,"02-0186","2025-07-31 15:15:50+06",NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,26279
36,"Mouse","2025021126390","02-0410","Need a USB mouse for official purpose",1,"02-2181","2025-02-11 10:56:34+06",2,"02-0186","2025-07-31 15:15:46+06",NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,26203
